etiqueta,mensaje
spam,Barclays alert: a transaction of $620 was authorized. Cancel here https://bit.ly/3xKp2mQ
spam,Delivery failed for tracking FR2284719. Reschedule here http://verify-now.io/session
spam,Google security alert: your account will be suspended. Verify identity http://verify-now.io/session
ham,happy birthday!! hope you have a great one
ham,hey can you send me the zoom link for the meeting
spam,Solana airdrop closing today. Connect wallet to claim 0.45 BTC http://account-update.net/id
ham,hey can you send me the zoom link for the meeting
spam,Refund of $3400 approved. Confirm your account to receive funds https://tinyurl.com/y7auth
spam,We detected a login from a new device on your Apple ID account. Not you? https://bit.ly/3xKp2mQ
spam,Delivery failed for tracking DE7719284. Reschedule here http://verify-now.io/session
spam,Microsoft security alert: your account will be suspended. Verify identity https://bit.ly/3xKp2mQ
ham,"thanks for helping out yesterday, really appreciate it"
spam,Your CV was shortlisted. Complete onboarding to start earning $620 https://bit.ly/3xKp2mQ
spam,Remote position available: earn 0.45 BTC weekly working from home. Apply https://tinyurl.com/y7auth
spam,HSBC alert: a transaction of $1250 was authorized. Cancel here https://bit.ly/3xKp2mQ
spam,You have an unclaimed tax refund of $2100. Submit details https://bit.ly/3xKp2mQ
ham,i think i left my charger at your place
spam,Instagram security alert: your account will be suspended. Verify identity http://verify-now.io/session
spam,BTC airdrop closing today. Connect wallet to claim $2100 http://secure-verify.co/x9
spam,Instagram security alert: your account will be suspended. Verify identity https://tinyurl.com/y7auth
spam,Remote position available: earn $3400 weekly working from home. Apply http://verify-now.io/session
spam,Ethereum airdrop closing today. Connect wallet to claim $750 http://secure-verify.co/x9
spam,Your package US9928471 could not be delivered. Confirm shipping fee $3.20 http://verify-now.io/session
spam,Delivery failed for tracking FR2284719. Reschedule here https://tinyurl.com/y7auth
ham,are we still on for the gym at 6
spam,You have an unclaimed tax refund of $1250. Submit details http://account-update.net/id
spam,Delivery failed for tracking GB4471829. Reschedule here http://account-update.net/id
spam,Someone requested a password reset for your Microsoft account. Code 482913 https://bit.ly/3xKp2mQ
spam,Your HBO Max membership expires today. Renew now and get 30% off http://verify-now.io/session
spam,Someone requested a password reset for your Amazon account. Code 482913 https://bit.ly/3xKp2mQ
spam,Your package DE7719284 could not be delivered. Confirm shipping fee $1.99 http://secure-verify.co/x9
ham,"thanks for helping out yesterday, really appreciate it"
spam,Royal Mail: your parcel is held at customs. Pay $0.99 clearance fee http://account-update.net/id
spam,Santander: your card was temporarily blocked. Reactivate at https://tinyurl.com/y7auth
spam,You have an unclaimed tax refund of $890. Submit details http://account-update.net/id
spam,Apple ID security alert: your account will be suspended. Verify identity http://secure-verify.co/x9
spam,Payment declined for Disney Plus. Update your card details http://account-update.net/id
ham,i think i left my charger at your place
spam,Two factor verification required for your PayPal account. Confirm at http://account-update.net/id
ham,hey can you send me the zoom link for the meeting
spam,Two factor verification required for your Microsoft account. Confirm at https://tinyurl.com/y7auth
spam,Spotify premium unlocked for you. Activate free trial https://bit.ly/3xKp2mQ
spam,Your verification code is 159372. Do not share. If this wasn't you visit https://bit.ly/3xKp2mQ
spam,Your Google subscription payment failed. Update billing to avoid cancellation https://bit.ly/3xKp2mQ
ham,"call me when you get a chance, nothing urgent"
spam,DHL notice: incomplete address. Update details within 24h http://secure-verify.co/x9
spam,Remote position available: earn 0.45 BTC weekly working from home. Apply https://bit.ly/3xKp2mQ
spam,Final notice: your Coinbase withdrawal of $750 is pending approval https://tinyurl.com/y7auth
ham,"call me when you get a chance, nothing urgent"
ham,hey can you send me the zoom link for the meeting
ham,"the wifi password is on the router, check the back"
spam,You have an unclaimed tax refund of $620. Submit details http://verify-now.io/session
spam,Your verification code is 603841. Do not share. If this wasn't you visit https://tinyurl.com/y7auth
spam,Delivery failed for tracking GB4471829. Reschedule here https://tinyurl.com/y7auth
spam,Your CV was shortlisted. Complete onboarding to start earning $1250 http://secure-verify.co/x9
spam,Your package FR2284719 could not be delivered. Confirm shipping fee $0.99 http://account-update.net/id
spam,BTC airdrop closing today. Connect wallet to claim $3400 https://bit.ly/3xKp2mQ
ham,"call me when you get a chance, nothing urgent"
spam,Someone requested a password reset for your Instagram account. Code 482913 https://bit.ly/3xKp2mQ
ham,i think i left my charger at your place
spam,You have an unclaimed tax refund of $3400. Submit details https://bit.ly/3xKp2mQ
spam,Your Bitcoin wallet received $1250. Verify your seed phrase at https://bit.ly/3xKp2mQ to unlock
spam,Someone requested a password reset for your Google account. Code 603841 https://bit.ly/3xKp2mQ
ham,hey can you send me the zoom link for the meeting
